Fips,State_fips,Pop,State_pop,Ratio,Date,Proj_inc_deaths,True_inc_deaths,Naive_proj_deaths,Naive_true_deaths
37037,37,75070,10367022,0.007241230895429758,20200711,100.119064,106.0,0.7249852618555527,0.7675704749155543
37037,37,75070,10367022,0.007241230895429758,20200718,120.17633,133.0,0.8702245577968405,0.9630837090921578
37037,37,75070,10367022,0.007241230895429758,20200725,131.0,148.0,0.9486012473012982,1.0717021725236042
37037,37,75070,10367022,0.007241230895429758,20200801,152.0,188.0,1.100667096105323,1.3613514083407945
37037,37,75070,10367022,0.007241230895429758,20200808,162.0,195.0,1.1730794050596207,1.4120400246088027
37037,37,75070,10367022,0.007241230895429758,20200815,208.0,186.0,1.5061760262493895,1.3468689465499348
37037,37,75070,10367022,0.007241230895429758,20200822,149.0,176.0,1.078943403419034,1.2744566375956374
37037,37,75070,10367022,0.007241230895429758,20200829,165.0,162.0,1.19480309774591,1.1730794050596207
37037,37,75070,10367022,0.007241230895429758,20200905,157.0,205.0,1.136873250582472,1.4844523335631004
37037,37,75070,10367022,0.007241230895429758,20200912,176.0,160.0,1.2744566375956374,1.1585969432687613
37037,37,75070,10367022,0.007241230895429758,20200919,157.0,187.0,1.136873250582472,1.3541101774453648
37037,37,75070,10367022,0.007241230895429758,20200926,171.0,198.0,1.2382504831184886,1.433763717295092
37037,37,75070,10367022,0.007241230895429758,20201003,171.0,189.0,1.2382504831184886,1.3685926392362242
37037,37,75070,10367022,0.007241230895429758,20201010,177.0,139.0,1.2816978684910671,1.0065310944647363
37037,37,75070,10367022,0.007241230895429758,20201017,162.0,169.0,1.1730794050596207,1.223768021327629
37037,37,75070,10367022,0.007241230895429758,20201024,162.0,215.0,1.1730794050596207,1.556864642517398
37037,37,75070,10367022,0.007241230895429758,20201031,198.0,230.0,1.433763717295092,1.6654831059488442
37037,37,75070,10367022,0.007241230895429758,20201107,221.0,229.0,1.6003120278899765,1.6582418750534145
37037,37,75070,10367022,0.007241230895429758,20201114,223.0,154.0,1.614794489680836,1.1151495578961828
37037,37,75070,10367022,0.007241230895429758,20201121,200.0,252.0,1.4482461790859515,1.8247901856482989
37037,37,75070,10367022,0.007241230895429758,20201128,257.0,214.0,1.8609963401254477,1.549623411621968
37037,37,75070,10367022,0.007241230895429758,20201205,242.0,298.0,1.7523778766940012,2.157886806838068
37037,37,75070,10367022,0.007241230895429758,20201212,315.0,284.0,2.2809877320603738,2.0565095743020514
37037,37,75070,10367022,0.007241230895429758,20201219,347.0,391.0,2.512707120714126,2.8313212801130354
37037,37,75070,10367022,0.007241230895429758,20201226,408.0,352.0,2.9544222053353413,2.548913275191275
37037,37,75070,10367022,0.007241230895429758,20210102,367.0,359.0,2.657531738622721,2.599601891459283
37037,37,75070,10367022,0.007241230895429758,20210109,366.0,535.0,2.6502905077272914,3.8740585290549205
37037,37,75070,10367022,0.007241230895429758,20210116,537.0,592.0,3.88854099084578,4.286808690094417
37037,37,75070,10367022,0.007241230895429758,20210123,596.0,563.0,4.315773613676136,4.0768129941269535
37037,37,75070,10367022,0.007241230895429758,20210130,583.0,592.0,4.221637612035549,4.286808690094417
37037,37,75070,10367022,0.007241230895429758,20210206,622.0,747.0,4.504045616957309,5.409199478886029
37037,37,75070,10367022,0.007241230895429758,20210213,613.0,520.0,4.438874538898442,3.765440065623474
37037,37,75070,10367022,0.007241230895429758,20210220,515.0,448.0,3.7292339111463253,3.2440714411525313
37037,37,75070,10367022,0.007241230895429758,20210227,421.0,310.0,3.048558206975928,2.244781577583225
37037,37,75070,10367022,0.007241230895429758,20210306,314.0,280.0,2.273746501164944,2.027544650720332
37037,37,75070,10367022,0.007241230895429758,20210313,253.0,196.0,1.8320314165437286,1.4192812555042325
37037,37,75070,10367022,0.007241230895429758,20210320,194.0,132.0,1.404798793713373,0.955842478196728
37037,37,75070,10367022,0.007241230895429758,20210327,132.0,201.0,0.955842478196728,1.4554874099813813
37037,37,75070,10367022,0.007241230895429758,20210403,140.0,112.0,1.013772325360166,0.8110178602881328
37037,37,75070,10367022,0.007241230895429758,20210410,132.0,113.0,0.955842478196728,0.8182590911835627
37037,37,75070,10367022,0.007241230895429758,20210417,111.0,142.0,0.8037766293927031,1.0282547871510257
37037,37,75070,10367022,0.007241230895429758,20210424,130.0,137.0,0.9413600164058685,0.9920486326738768
37037,37,75070,10367022,0.007241230895429758,20210501,132.0,124.0,0.955842478196728,0.89791263103329
37037,37,75070,10367022,0.007241230895429758,20210508,130.0,126.0,0.9413600164058685,0.9123950928241494
37037,37,75070,10367022,0.007241230895429758,20210515,115.0,82.0,0.8327415529744221,0.5937809334252401
37037,37,75070,10367022,0.007241230895429758,20210522,85.0,99.0,0.6155046261115295,0.716881858647546
37037,37,75070,10367022,0.007241230895429758,20210529,77.0,117.0,0.5575747789480914,0.8472240147652816
37037,37,75070,10367022,0.007241230895429758,20210605,85.0,67.0,0.6155046261115295,0.48516246999379375
37037,37,75070,10367022,0.007241230895429758,20210612,69.0,119.0,0.4996449317846533,0.8617064765561412
37037,37,75070,10367022,0.007241230895429758,20210619,80.0,72.0,0.5792984716343806,0.5213686244709426
37037,37,75070,10367022,0.007241230895429758,20210626,67.0,73.0,0.48516246999379375,0.5286098553663723
37037,37,75070,10367022,0.007241230895429758,20210703,61.0,15.0,0.4417150846212152,0.10861846343144636
37037,37,75070,10367022,0.007241230895429758,20210710,37.0,49.0,0.26792554313090106,0.3548203138760581
37037,37,75070,10367022,0.007241230895429758,20210717,40.0,37.0,0.2896492358171903,0.26792554313090106
37037,37,75070,10367022,0.007241230895429758,20210724,45.0,53.0,0.3258553902943391,0.38378523745777715
37037,37,75070,10367022,0.007241230895429758,20210731,54.0,65.0,0.3910264683532069,0.47068000820293426
37037,37,75070,10367022,0.007241230895429758,20210807,78.0,101.0,0.5648160098435211,0.7313643204384055
37037,37,75070,10367022,0.007241230895429758,20210814,120.0,90.0,0.8689477074515709,0.6517107805886782
37037,37,75070,10367022,0.007241230895429758,20210821,118.0,230.0,0.8544652456607114,1.6654831059488442
37037,37,75070,10367022,0.007241230895429758,20210828,217.0,262.0,1.5713471043082574,1.8972024946025965
37037,37,75070,10367022,0.007241230895429758,20210904,324.0,392.0,2.3461588101192414,2.838562511008465
37037,37,75070,10367022,0.007241230895429758,20210911,416.0,366.0,3.012352052498779,2.6502905077272914
37037,37,75070,10367022,0.007241230895429758,20210918,397.0,544.0,2.8747686654856137,3.9392296071137882
37037,37,75070,10367022,0.007241230895429758,20210925,521.0,490.0,3.7726812965189036,3.5482031387605812
37037,37,75070,10367022,0.007241230895429758,20211002,486.0,499.0,3.5192382151788624,3.613374216819449
37037,37,75070,10367022,0.007241230895429758,20211009,471.0,496.0,3.410619751747416,3.59165052413316
37037,37,75070,10367022,0.007241230895429758,20211016,451.0,351.0,3.2657951338388207,2.541672044295845
37037,37,75070,10367022,0.007241230895429758,20211023,336.0,311.0,2.4330535808643985,2.2520228084786544
37037,37,75070,10367022,0.007241230895429758,20211030,272.0,285.0,1.9696148035568941,2.063750805197481
37037,37,75070,10367022,0.007241230895429758,20211106,228.0,196.0,1.6510006441579848,1.4192812555042325
37037,37,75070,10367022,0.007241230895429758,20211113,186.0,167.0,1.3468689465499348,1.2092855595367695
37037,37,75070,10367022,0.007241230895429758,20211120,149.0,186.0,1.078943403419034,1.3468689465499348
37037,37,75070,10367022,0.007241230895429758,20211127,147.0,82.0,1.0644609416281743,0.5937809334252401
37037,37,75070,10367022,0.007241230895429758,20211204,113.0,136.0,0.8182590911835627,0.9848074017784471
37037,37,75070,10367022,0.007241230895429758,20211211,123.0,151.0,0.8906714001378602,1.0934258652098934
37037,37,75070,10367022,0.007241230895429758,20211218,146.0,145.0,1.0572197107327446,1.0499784798373148
37037,37,75070,10367022,0.007241230895429758,20211225,164.0,112.0,1.1875618668504802,0.8110178602881328
37037,37,75070,10367022,0.007241230895429758,20220101,144.0,193.0,1.0427372489418851,1.3975575628179433
37037,37,75070,10367022,0.007241230895429758,20220108,184.0,193.0,1.3323864847590754,1.3975575628179433
37037,37,75070,10367022,0.007241230895429758,20220115,261.0,285.0,1.8899612637071668,2.063750805197481
37037,37,75070,10367022,0.007241230895429758,20220122,372.0,290.0,2.6937378930998697,2.0999569596746297
37037,37,75070,10367022,0.007241230895429758,20220129,345.0,401.0,2.498224658923266,2.903733589067333
37037,37,75070,10367022,0.007241230895429758,20220205,430.0,502.0,3.113729285034796,3.6350979095057383
37037,37,75070,10367022,0.007241230895429758,20220212,453.0,568.0,3.28027759562968,4.113019148604103
37037,37,75070,10367022,0.007241230895429758,20220219,561.0,483.0,4.062330532336094,3.497514522492573
37037,37,75070,10367022,0.007241230895429758,20220226,476.0,352.0,3.4468259062245648,2.548913275191275
37037,37,75070,10367022,0.007241230895429758,20220305,332.0,263.0,2.4040886572826796,1.9044437254980262
37037,37,75070,10367022,0.007241230895429758,20220312,233.0,159.0,1.6872067986351336,1.1513557123733316
37037,37,75070,10367022,0.007241230895429758,20220319,150.0,136.0,1.0861846343144637,0.9848074017784471
37037,37,75070,10367022,0.007241230895429758,20220326,127.0,116.0,0.9196363237195793,0.8399827838698519
37037,37,75070,10367022,0.007241230895429758,20220402,115.0,41.0,0.8327415529744221,0.29689046671262004
37037,37,75070,10367022,0.007241230895429758,20220409,55.0,43.0,0.3982676992486367,0.3113729285034796
37037,37,75070,10367022,0.007241230895429758,20220416,41.0,76.0,0.29689046671262004,0.5503335480526615
37037,37,75070,10367022,0.007241230895429758,20220423,60.0,29.0,0.43447385372578545,0.20999569596746298
37037,37,75070,10367022,0.007241230895429758,20220430,33.0,42.0,0.238960619549182,0.3041316976080498
37037,37,75070,10367022,0.007241230895429758,20220507,33.0,1172.0,0.238960619549182,8.486722609443676
37039,37,28515,10367022,0.0027505488075553423,20200620,122.95238,104.0,0.33818651482179396,0.2860570759857556
37039,37,28515,10367022,0.0027505488075553423,20200627,100.308655,95.0,0.27590385080679203,0.26130213671775754
37039,37,28515,10367022,0.0027505488075553423,20200704,119.399124,80.0,0.3284131185415788,0.22004390460442738
37039,37,28515,10367022,0.0027505488075553423,20200711,100.119064,106.0,0.2753823730093391,0.2915581736008663
37039,37,28515,10367022,0.0027505488075553423,20200718,120.17633,133.0,0.33055086273580536,0.3658229914048605
